Date,Term,Rate
2013-01-07,14,0.001438563
2013-01-07,30,0.001227009
2013-01-07,61,0.00082677
2013-01-07,91,0.000477878
2013-01-07,122,0.000269854
2013-01-07,152,0.000184696
2013-01-07,182,0.00017991
2013-01-07,213,0.00022178
2013-01-07,243,0.000221714
2013-01-07,273,0.000206037
2013-01-07,304,0.000252529
2013-01-07,335,0.000226129
2013-01-07,365,0.000264042
2013-01-07,395,0.000265514
2013-01-07,425,0.000286498
2013-01-07,456,0.000324653
2013-01-07,486,0.000374014
2013-01-07,516,0.000433025
2013-01-07,547,0.000502418
2013-01-07,577,0.000568626
2013-01-07,607,0.00061547
2013-01-07,638,0.000644172
2013-01-07,668,0.000660249
2013-01-07,698,0.000660159
2013-01-07,730,0.000646818
2013-01-07,1095,0.000942765
2013-01-07,1460,0.002042327
2013-01-07,1825,0.003917003
2013-01-07,2190,0.006257632
2013-01-07,2555,0.008793534
2013-01-07,2920,0.010304171
2013-01-07,3285,0.011565034
2013-01-07,3650,0.012059388
2013-01-07,4380,0.012421848
2013-01-07,5475,0.012089853
2013-01-07,7300,0.010483493
2013-01-07,9125,0.008488971
2013-01-07,10950,0.006778566
2013-01-07,14600,0.006473343
2013-01-07,18250,0.008004403
2013-01-08,0,0.001585797
2013-01-08,1,0.001727068
2013-01-08,2,0.001772315
2013-01-08,7,0.001455491
2013-01-08,14,0.001085548
2013-01-08,30,0.001094565
2013-01-08,61,0.000603047
2013-01-08,91,0.000277042
2013-01-08,122,5.76373E-05
2013-01-08,152,-2.40299E-05
2013-01-08,182,-2.78585E-05
2013-01-08,213,2.24846E-05
2013-01-08,243,0.000109052
2013-01-08,273,0.000159516
2013-01-08,304,0.000152919
2013-01-08,335,0.000143582
2013-01-08,365,0.000144748
2013-01-08,395,0.000178634
2013-01-08,425,0.000220704
2013-01-08,456,0.00026833
2013-01-08,486,0.000315807
2013-01-08,516,0.000362906
2013-01-08,547,0.000410443
2013-01-08,577,0.00045213
2013-01-08,607,0.000484247
2013-01-08,638,0.000513654
2013-01-08,668,0.000537064
2013-01-08,698,0.000552682
2013-01-08,730,0.000561178
2013-01-08,1095,0.000956298
2013-01-08,1460,0.001968004
2013-01-08,1825,0.003847554
2013-01-08,2190,0.006122657
2013-01-08,2555,0.008570634
2013-01-08,2920,0.010150448
2013-01-08,3285,0.011396525
2013-01-08,3650,0.011868739
2013-01-08,4380,0.012223614
2013-01-08,5475,0.011967902
2013-01-08,7300,0.010398274
2013-01-08,9125,0.008405384
2013-01-08,10950,0.006707532
2013-01-08,14600,0.006384772
2013-01-08,18250,0.007901686
2013-01-09,0,0.001585797
2013-01-09,1,0.001727068
2013-01-09,2,0.001772315
2013-01-09,7,0.001455491
2013-01-09,14,0.001085548
2013-01-09,30,0.001094565
2013-01-09,61,0.000603047
2013-01-09,91,0.000277042
2013-01-09,122,5.76373E-05
2013-01-09,152,-2.40299E-05
2013-01-09,182,-2.78585E-05
2013-01-09,213,2.24846E-05
2013-01-09,243,0.000109052
2013-01-09,273,0.000159516
2013-01-09,304,0.000152919
2013-01-09,335,0.000143582
2013-01-09,365,0.000144748
2013-01-09,395,0.000178634
2013-01-09,425,0.000220704
2013-01-09,456,0.00026833
2013-01-09,486,0.000315807
2013-01-09,516,0.000362906
2013-01-09,547,0.000410443
2013-01-09,577,0.00045213
2013-01-09,607,0.000484247
2013-01-09,638,0.000513654
2013-01-09,668,0.000537064
2013-01-09,698,0.000552682
2013-01-09,730,0.000561178
2013-01-09,1095,0.000956298
2013-01-09,1460,0.001968004
2013-01-09,1825,0.003847554
2013-01-09,2190,0.006122657
2013-01-09,2555,0.008570634
2013-01-09,2920,0.010150448
2013-01-09,3285,0.011396525
2013-01-09,3650,0.011868739
2013-01-09,4380,0.012223614
2013-01-09,5475,0.011967902
2013-01-09,7300,0.010398274
2013-01-09,9125,0.008405384
2013-01-09,10950,0.006707532
2013-01-09,14600,0.006384772
2013-01-09,18250,0.007901686
2013-01-10,0,0.001444365
2013-01-10,1,0.001378233
2013-01-10,2,0.001289671
2013-01-10,7,0.001594618
2013-01-10,14,0.001528497
2013-01-10,30,0.001233408
2013-01-10,61,0.00072176
2013-01-10,91,0.000366044
2013-01-10,122,0.00016537
2013-01-10,152,8.835E-05
2013-01-10,182,9.29118E-05
2013-01-10,213,0.000145331
2013-01-10,243,0.000142198
2013-01-10,273,0.000118065
2013-01-10,304,0.000195596
2013-01-10,335,0.000238238
2013-01-10,365,0.000322656
2013-01-10,395,0.000315262
2013-01-10,425,0.000322941
2013-01-10,456,0.00033836
2013-01-10,486,0.000359405
2013-01-10,516,0.000384273
2013-01-10,547,0.000413372
2013-01-10,577,0.000442814
2013-01-10,607,0.00046909
2013-01-10,638,0.000491366
2013-01-10,668,0.000515571
2013-01-10,698,0.000539873
2013-01-10,730,0.000570984
2013-01-10,1095,0.000983852
2013-01-10,1460,0.002011563
2013-01-10,1825,0.003970616
2013-01-10,2190,0.006396236
2013-01-10,2555,0.008960176
2013-01-10,2920,0.010512387
2013-01-10,3285,0.011786125
2013-01-10,3650,0.012056715
2013-01-10,4380,0.01249922
2013-01-10,5475,0.012098589
2013-01-10,7300,0.010466684
2013-01-10,9125,0.008502275
2013-01-10,10950,0.006773958
2013-01-10,14600,0.006680639
2013-01-10,18250,0.007536125
2013-01-11,0,0.001457995
2013-01-11,1,0.001395412
2013-01-11,2,0.00131325
2013-01-11,7,0.001516356
2013-01-11,14,0.001583034
2013-01-11,30,0.001244289
2013-01-11,61,0.00078832
2013-01-11,91,0.000394276
2013-01-11,122,0.000147995
2013-01-11,152,2.81772E-05
2013-01-11,182,-1.20552E-05
2013-01-11,213,1.86492E-05
2013-01-11,243,0.000192657
2013-01-11,273,0.000350067
2013-01-11,304,0.000172737
2013-01-11,335,0.000217525
2013-01-11,365,0.000227216
2013-01-11,395,0.000239185
2013-01-11,425,0.000264299
2013-01-11,456,0.000299897
2013-01-11,486,0.000339751
2013-01-11,516,0.000382232
2013-01-11,547,0.00042724
2013-01-11,577,0.000467229
2013-01-11,607,0.000497506
2013-01-11,638,0.000533908
2013-01-11,668,0.000557208
2013-01-11,698,0.000569719
2013-01-11,730,0.00057708
2013-01-11,1095,0.000999274
2013-01-11,1460,0.002023492
2013-01-11,1825,0.003936434
2013-01-11,2190,0.006293564
2013-01-11,2555,0.008900862
2013-01-11,2920,0.010435334
2013-01-11,3285,0.011533664
2013-01-11,3650,0.01216607
2013-01-11,4380,0.012402447
2013-01-11,5475,0.012099836
2013-01-11,7300,0.010430586
2013-01-11,9125,0.008486939
2013-01-11,10950,0.006730729
2013-01-11,14600,0.006609857
2013-01-11,18250,0.007496971
2013-01-14,0,0.001405948
2013-01-14,1,0.001247213
2013-01-14,2,0.001266586
2013-01-14,7,0.001638688
2013-01-14,14,0.001554113
2013-01-14,30,0.001239442
2013-01-14,61,0.000792305
2013-01-14,91,0.000409744
2013-01-14,122,0.00016988
2013-01-14,152,5.65846E-05
2013-01-14,182,2.29912E-05
2013-01-14,213,4.07912E-05
2013-01-14,243,0.000206235
2013-01-14,273,0.000297403
2013-01-14,304,0.000158373
2013-01-14,335,0.000164441
