Date,Term,Value
2011-11-16,335,0.001071807
2011-11-16,365,0.001171935
2011-11-16,547,0.002039864
2011-11-16,730,0.002602035
2011-11-16,1095,0.004833023
2011-11-16,1460,0.003260489
2011-11-16,1825,0.002653977
2011-11-16,2190,0.002711333
2011-11-16,2555,0.002374629
2011-11-16,2920,0.002059329
2011-11-16,3285,0.002355526
2011-11-16,3650,0.001433006
2011-11-17,30,-0.000513689
2011-11-17,61,4.93E-05
2011-11-17,91,0.000625193
2011-11-17,122,0.000983232
2011-11-17,152,0.001119075
2011-11-17,182,0.001284919
2011-11-17,213,0.001485776
2011-11-17,243,0.001608021
2011-11-17,273,0.001743477
2011-11-17,304,0.001857784
2011-11-17,335,0.001928406
2011-11-17,365,0.002002837
2011-11-17,547,0.002779256
2011-11-17,730,0.00307057
2011-11-17,1095,0.005360944
2011-11-17,1460,0.005050384
2011-11-17,1825,0.004557519
2011-11-17,2190,0.002574253
2011-11-17,2555,0.002248106
2011-11-17,2920,0.001412701
2011-11-17,3285,0.002142174
2011-11-17,3650,0.000311081
2011-11-18,30,-0.000558673
2011-11-18,61,3.02E-05
2011-11-18,91,0.000596862
2011-11-18,122,0.000810741
2011-11-18,152,0.000992397
2011-11-18,182,0.001134054
2011-11-18,213,0.001399353
2011-11-18,243,0.001597471
2011-11-18,273,0.001794766
2011-11-18,304,0.001991488
2011-11-18,335,0.002144623
2011-11-18,365,0.002281218
2011-11-18,547,0.003283354
2011-11-18,730,0.003970471
2011-11-18,1095,0.00454708
2011-11-18,1460,0.004524806
2011-11-18,1825,0.005658756
2011-11-18,2190,0.005127889
2011-11-18,2555,0.004655725
2011-11-18,2920,0.003367075
2011-11-18,3285,0.00385004
2011-11-18,3650,0.0030014
2011-11-21,30,-0.000543835
2011-11-21,61,-8.34E-05
2011-11-21,91,0.000445172
2011-11-21,122,0.00073565
2011-11-21,152,0.000854178
2011-11-21,182,0.001032706
2011-11-21,213,0.001246056
2011-11-21,243,0.00136001
2011-11-21,273,0.001496089
2011-11-21,304,0.00159524
2011-11-21,335,0.001710117
2011-11-21,365,0.001813405
2011-11-21,547,0.00308839
2011-11-21,730,0.003731851
2011-11-21,1095,0.004540808
2011-11-21,1460,0.004776627
2011-11-21,1825,0.00445018
2011-11-21,2190,0.003980837
2011-11-21,2555,0.003482059
2011-11-21,2920,0.003150229
2011-11-21,3285,0.00291727
2011-11-21,3650,0.001943417
2011-11-22,30,-0.001259773
2011-11-22,61,-0.000858014
2011-11-22,91,-0.000356633
2011-11-22,122,-0.000214874
2011-11-22,152,-6.35E-05
2011-11-22,182,3.79E-05
2011-11-22,213,0.000282599
2011-11-22,243,0.000507219
2011-11-22,273,0.000610986
2011-11-22,304,0.000704862
2011-11-22,335,0.000867421
2011-11-22,365,0.000952322
2011-11-22,547,0.001946904
2011-11-22,730,0.002493191
2011-11-22,1095,0.003286515
2011-11-22,1460,0.003531527
2011-11-22,1825,0.003151777
2011-11-22,2190,0.002770777
2011-11-22,2555,0.002440049
2011-11-22,2920,0.002186958
2011-11-22,3285,0.001989544
2011-11-22,3650,0.001027412
2011-11-23,30,-0.000523722
2011-11-23,61,7.26E-05
2011-11-23,91,0.000476855
2011-11-23,122,0.000733214
2011-11-23,152,0.000877432
2011-11-23,182,0.001001649
2011-11-23,213,0.001312655
2011-11-23,243,0.001455829
2011-11-23,273,0.001622693
2011-11-23,304,0.001746128
2011-11-23,335,0.001808425
2011-11-23,365,0.001981923
2011-11-23,547,0.002766158
2011-11-23,730,0.003164009
2011-11-23,1095,0.003762567
2011-11-23,1460,0.004113345
2011-11-23,1825,0.003757965
2011-11-23,2190,0.003302386
2011-11-23,2555,0.002850258
2011-11-23,2920,0.002507209
2011-11-23,3285,0.002233473
2011-11-23,3650,0.001239536
2011-11-24,30,-0.000283479
2011-11-24,61,0.000255479
2011-11-24,91,0.000741891
2011-11-24,122,0.001010849
2011-11-24,152,0.00114726
2011-11-24,182,0.001268672
2011-11-24,213,0.001542113
2011-11-24,243,0.001757333
2011-11-24,273,0.001926261
2011-11-24,304,0.002042175
2011-11-24,335,0.00214696
2011-11-24,365,0.00225255
2011-11-24,547,0.003071422
2011-11-24,730,0.00343868
2011-11-24,1095,0.003715853
2011-11-24,1460,0.004195333
2011-11-24,1825,0.003797049
2011-11-24,2190,0.003365208
2011-11-24,2555,0.002976974
2011-11-24,2920,0.002705927
2011-11-24,3285,0.002454547
2011-11-24,3650,0.001464209
2011-11-25,30,-0.000228641
2011-11-25,61,0.000281918
2011-11-25,91,0.0007902
2011-11-25,122,0.001110759
2011-11-25,152,0.001279041
2011-11-25,182,0.001467323
